,name,brand,links,price,weight,price_gr,nutritients,photo_link
0,BIO Chiasamen 1kg,Foodist,https://www.foodist.de/foodist-bio-chiasamen-1kg-9770,"  8,95 € ",  Inhalt:  1000 g ," 0,90 € / 100 g ","  Brennwert 1.901 kJ(454 kcal)   Fett 31,0 g   davon gesättigte Fettsäuren 3,8 g   Kohlenhydrate 4,9 g   davon Zucker 0,8 g   Ballaststoffe 34,0 g   Eiweiß 21,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4260453715777_0E5pALoV2T2du2.jpg?auto=compress%2Cformat&h=60&q=20&w=60
1,Xylit Bonbons Orange,Birkengold,https://www.foodist.de/birkengold-xylit-bonbons-orange-10787,"  2,50 € ",  Inhalt:  30 g ," 8,33 € / 100 g ","  Brennwert 1.072 kJ(257 kcal)   Fett 1,8 g   davon gesättigte Fettsäuren 1,8 g   Kohlenhydrate 93,0 g   davon Zucker 0,0 g   Eiweiß 0,0 g   Salz 0,40 g  ",https://foodist.imgix.net/media/image/9120048832089_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
2,Schokolade & Spielzeug Weihnachten,PLAYin Choc,https://www.foodist.de/playin-choc-schokolade-spielzeug-weihnachten-8200,"  4,00 € ",  Inhalt:  20 g ," 20,00 € / 100 g ","  Brennwert 2.609 kJ(630 kcal)   Fett 51,6 g   davon gesättigte Fettsäuren 35,0 g   Kohlenhydrate 32,0 g   davon Zucker 25,5 g   Ballaststoffe 7,6 g   Eiweiß 5,6 g   Salz 0,13 g  ",https://foodist.imgix.net/media/image/5060548500061_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
3,"Waffelteig gefüllt mit Erdnussbutter ""Nutisfaction""",Paddies,https://www.foodist.de/paddies-waffelteig-gefuellt-mit-erdnussbutter-nutisfaction-11714,"  1,99 € ",  Inhalt:  70 g ," 2,84 € / 100 g ","  Brennwert 1.742 kJ(418 kcal)   Fett 25,0 g   davon gesättigte Fettsäuren 4,7 g   Kohlenhydrate 41,0 g   davon Zucker 3,2 g   Ballaststoffe 12,0 g   Eiweiß 14,0 g   Salz 2,00 g  ",https://foodist.imgix.net/media/image/9120102740244_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
4,"BIO Marshmallows mit Vanillegeschmack ""Marilyn Mallow""",Not Guilty,https://www.foodist.de/not-guilty-bio-marshmallows-mit-vanillegeschmack-marilyn-mallow-10571,"  1,90 € ",  Inhalt:  80 g ," 2,38 € / 100 g ","  Brennwert 1.386 kJ(326 kcal)   Fett 0,0 g   davon gesättigte Fettsäuren 0,0 g   Kohlenhydrate 81,0 g   davon Zucker 69,0 g   Eiweiß 0,5 g   Salz 0,20 g  ",https://foodist.imgix.net/media/image/3663458005682_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
5,Kekse mit Schokostückchen,Heldenbrot,https://www.foodist.de/heldenbrot-kekse-mit-schokostueckchen-11220,"  1,90 € ",  Inhalt:  25 g ," 7,60 € / 100 g ","  Brennwert 1.917 kJ(457 kcal)   Fett 19,0 g   davon gesättigte Fettsäuren 7,1 g   Kohlenhydrate 64,0 g   davon Zucker 19,0 g   Ballaststoffe 2,1 g   Eiweiß 6,4 g   Salz 1,50 g  ",https://foodist.imgix.net/media/image/4260545981103_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
6,"BIO Riegel Banane, Rote Traube und Aronia 4er-Pack",Freche Freunde,https://www.foodist.de/freche-freunde-bio-riegel-banane-rote-traube-und-aronia-4er-pack-10885,"  1,75 € ",  Inhalt:  92 g ," 1,90 € / 100 g ","  Brennwert 1.611 kJ(383 kcal)   Fett 13,0 g   davon gesättigte Fettsäuren 1,4 g   Kohlenhydrate 58,0 g   davon Zucker 28,0 g   Ballaststoffe 6,4 g   Eiweiß 6,4 g   Salz 0,03 g  ",https://foodist.imgix.net/media/image/4260249144316_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
7,KakaoWUMMS - Gebrannte Kakaobohnen mit Chili,PURmacherei,https://www.foodist.de/purmacherei-kakaowumms-gebrannte-kakaobohnen-mit-chili-9063,"  3,49 € ",  Inhalt:  50 g ," 6,98 € / 100 g ","  Brennwert 2.184 kJ(527 kcal)   Fett 35,0 g   davon gesättigte Fettsäuren 22,0 g   Kohlenhydrate 32,0 g   davon Zucker 25,0 g   Ballaststoffe 21,0 g   Eiweiß 11,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4270000466441_0vLbygHF8qWUGB.jpg?auto=compress%2Cformat&h=60&q=20&w=60
8,"BIO Getrocknete Kirschen, knusprig",Supersec,https://www.foodist.de/supersec-bio-getrocknete-kirschen-knusprig-9743,"  4,85 € ",  Inhalt:  140 g ," 3,46 € / 100 g ","  Brennwert 1.380 kJ(325 kcal)   Fett 0,5 g   davon gesättigte Fettsäuren 0,2 g   Kohlenhydrate 80,0 g   davon Zucker 67,5 g   Eiweiß 2,5 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/5425033150532_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
9,"Kleine Freuden Sparset, 2-teilig",Foodist,https://www.foodist.de/foodist-kleine-freuden-sparset-2-teilig-11674,"  29,98 € ",  Inhalt:  1 Stck. ," 29,98 € / 1 Stck. ","  Brennwert 2.564 kJ(614 kcal)   Fett 48,0 g   davon gesättigte Fettsäuren 24,0 g   Kohlenhydrate 37,0 g   davon Zucker 23,0 g   Eiweiß 7,0 g   Salz 0,26 g  ",https://foodist.imgix.net/media/image/Bundle_Shopbild_NutButterCupADK_WeihnachtsmannCVir1rZCzTKPS.jpg?auto=compress%2Cformat&h=60&q=20&w=60
