,product,brand,weight,links,price,price_gr,nutritions,photo_link
0,Eisbonbon - 75g,Bio4You,- 75g,https://kokku-online.de/bio4you-eisbonbon/,1.49 €,1.99€/100g,"Brennwert1.632 kJ / 384 kcalFett< 0,1g- davon gesättigte Fettsäuren< 0,1gKohlenhydrate94g- davon Zucker69gEiweiß< 0,1gSalz< 0,01g",https://kokku-online.de//bilder/350x350/19266/bio4you-eisbonbon.auto
1,Stollenkonfekt - 100g,Bäckerei Sachse,- 100g,https://kokku-online.de/sachse-stollen-stollenkonfekt/,2.99 €,2.99€/100g,"Brennwert1912 kJ / 457 kcalFett26,7g- davon gesättigte Fettsäuren12,1gKohlenhydrate48,7g- davon Zucker30,3gEiweiß5,7gSalz0,1g",https://kokku-online.de//bilder/350x350/12280/sachse-stollen-stollenkonfekt.auto
2,Veganer °Schokodrops° Dinkelstollen mit Puderzucker (ohne Rosinen) - 1kg,Bäckerei Sachse,- 1kg,https://kokku-online.de/sachse-stollen-veganer-dinkelstollen-mit-schokodrops-ohne-/,19.99 €,19.99€/kg,"Brennwert1763 kJ / 421 kcalFett20,3g- davon gesättigte Fettsäuren10,0gKohlenhydrate52,5g- davon Zucker30,2gEiweiß6,0gSalz0,2g",https://kokku-online.de//bilder/350x350/7806/sachse-stollen-veganer-dinkelstollen-mit-schokodrops-ohne-.auto
3,3 Stollenscheiben °Schokodrops° (ohne Rosinen) - 250g,Bäckerei Sachse,- 250g,https://kokku-online.de/sachse-stollen-3-stollenscheiben-dinkel-mit-schokodrops-ohne-ros/,4.99 €,2.00€/100g,"Brennwert1763 kJ / 421 kcalFett20,3g- davon gesättigte Fettsäuren10,0gKohlenhydrate52,5g- davon Zucker30,2gEiweiß6,0gSalz0,2g",https://kokku-online.de//bilder/350x350/6140/sachse-stollen-3-stollenscheiben-dinkel-mit-schokodrops-ohne-ros.auto
4,Veganer °Rosinen° Dinkelstollen - 1kg,Bäckerei Sachse,- 1kg,https://kokku-online.de/sachse-stollen-dinkelstollen-rosine/,19.99 €,19.99€/kg,"Brennwert1572 kJ / 375 kcalFett14,915,1g- davon gesättigte Fettsäuren6,8gKohlenhydrate55,7g- davon Zucker28,9gEiweiß6,0gSalz0,2g",https://kokku-online.de//bilder/350x350/6167/sachse-stollen-dinkelstollen-rosine.auto
5,3 Stollenscheiben °Rosine° - 250g,Bäckerei Sachse,- 250g,https://kokku-online.de/sachse-stollen-3-stollenscheiben-dinkel-rosine/,4.99 €,2.00€/100g,"Brennwert1572 kJ / 375 kcalFett15,1g- davon gesättigte Fettsäuren6,8gKohlenhydrate55,7g- davon Zucker28,9gEiweiß6,0gSalz0,2g",https://kokku-online.de//bilder/350x350/6169/sachse-stollen-3-stollenscheiben-dinkel-rosine.auto
6,Veganer °Mailänder Art° Dinkelstollen (mit Schokodrops und Schokoglasur) - 1kg,Bäckerei Sachse,- 1kg,https://kokku-online.de/sachse-stollen-dinkelstollen-schoko-mailaender-art-mit-schokodro/,19.99 €,19.99€/kg,"Brennwert1778 kJ / 425 kcalFett22,6g- davon gesättigte Fettsäuren10,9gKohlenhydrate47,5g- davon Zucker23,3gEiweiß6,8gSalz0,2g",https://kokku-online.de//bilder/350x350/6137/sachse-stollen-dinkelstollen-schoko-mailaender-art-mit-schokodro.auto
7,3 Stollenscheiben °Mailänder Art° - 250g,Bäckerei Sachse,- 250g,https://kokku-online.de/sachse-stollen-3-stollenscheiben-dinkel-mailaender-art-mit-schok/,4.99 €,2.00€/100g,"Brennwert1778 kJ / 425 kcalFett22,6g- davon gesättigte Fettsäuren10,9gKohlenhydrate47,5g- davon Zucker23,3gEiweiß6,8gSalz0,2g",https://kokku-online.de//bilder/350x350/6141/sachse-stollen-3-stollenscheiben-dinkel-mailaender-art-mit-schok.auto
8,12er Konfekt °Winterwonne° - 115g,Bernsteinzimmer,- 115g,https://kokku-online.de/bernsteinzimmer-12er-konfekt-winterwonne/,21.99 €,19.12€/100g,"Brennwert2258,9 kJ / 539,4 kcalFett35,9g- davon gesättigte Fettsäuren11,6gKohlenhydrate43,6g- davon Zucker38,6gEiweiß8,2gSalz0,13g",https://kokku-online.de//bilder/350x350/19015/bernsteinzimmer-12er-konfekt-winterwonne.auto
9,Konfekt Adventskalender - 225g,Bernsteinzimmer,- 225g,https://kokku-online.de/bernsteinzimmer-konfekt-adventskalender/,48.99 €,21.77€/100g,"Brennwert2314 kJ / 556,9 kcalFett38,1g- davon gesättigte Fettsäuren13,2gKohlenhydrate43,3g- davon Zucker36,7gEiweiß8,0gSalz0,3g",https://kokku-online.de//bilder/350x350/18656/bernsteinzimmer-konfekt-adventskalender.auto
10,Ingwer in Zartbitter - 80g,Rosengarten,- 80g,https://kokku-online.de/rosengarten-zartbitter-ingwer/,3.49 €,4.36€/100g,"Brennwert1721 kJ / 411 kcalFett17,8g- davon gesättigte Fettsäuren11gKohlenhydrate584,7g- davon Zucker50,9gEiweiß4,20gSalz0,03g",https://kokku-online.de//bilder/350x350/17671/rosengarten-zartbitter-ingwer.auto
11,°Olivia der Bär° Weiße Schokolade - 80g,Moo Free,- 80g,https://kokku-online.de/moo-free-olivia-der-baer-weisse-schokolade/,4.99 €,6.24€/100g,"Brennwert2407 kJ / 577 kcalFett36g- davon gesättigte Fettsäuren22gKohlenhydrate60g- davon Zucker41gEiweiß1,9gSalz0g",https://kokku-online.de//bilder/350x350/19121/moo-free-olivia-der-baer-weisse-schokolade.auto
12,°Snowball° Schneeball Weiße Schokolade mit Marshmallow und Honeycomb - 65g,Moo Free,- 65g,https://kokku-online.de/moo-free-snowball-weisse-schokolade-mit-marshmallow-und-honeycom/,3.99 €,6.14€/100g,Brennwert2337 kJ / 560 kcalFett33g- davon gesättigte Fettsäuren20gKohlenhydrate62g- davon Zucker43gEiweiß1.7gSalz0.06g,https://kokku-online.de//bilder/350x350/19117/moo-free-snowball-weisse-schokolade-mit-marshmallow-und-honeycom.auto
13,°Oscar der Bär° Vegane Schokolade - 80g,Moo Free,- 80g,https://kokku-online.de/moo-free-oscar-der-baer-vegane-schokolade/,4.99 €,6.24€/100g,Brennwert2256 kJ / 541 kcalFett31g- davon gesättigte Fettsäuren19gKohlenhydrate58g- davon Zucker41gEiweiß3gSalz0g,https://kokku-online.de//bilder/350x350/19118/moo-free-oscar-der-baer-vegane-schokolade.auto
14,Nirwana vegan Stick - 22g,Rapunzel,- 22g,https://kokku-online.de/rapunzel-nirwana-vegan-stick/,0.89 €,4.05€/100g,"Brennwert2417 kJ / 580 kcalFett39g- davon gesättigte Fettsäuren14gKohlenhydrate51g- davon Zucker44gEiweiß5,5gSalz0,08g",https://kokku-online.de//bilder/350x350/19075/rapunzel-nirwana-vegan-stick.auto
